t_ms,red,ir,stm_glucose,stm_status,stm_sqi
3930,78981,109748,,,
3940,79078,109848,,,
3950,79170,109953,,,
3960,79211,110040,,,
3970,79306,110116,,,
3980,79345,110197,,,
3990,79420,110281,,,
4000,79233,110036,,,
4010,79215,110028,,,
4020,79216,109982,,,
4030,79174,109955,,,
4040,79152,109927,,,
4050,79134,109929,,,
4060,79119,109892,,,
4070,79131,109904,,,
4080,79114,109916,,,
4090,79133,109903,,,
4100,79145,109898,,,
4110,79134,109904,,,
4120,79132,109900,,,
4130,79136,109928,,,
4140,79149,109906,,,
4150,79121,109931,,,
4160,79138,109906,,,
4170,79139,109913,,,
4180,79143,109932,,,
4190,79113,109936,,,
4200,79110,109900,,,
4210,79100,109883,,,
4220,79075,109847,,,
4230,79057,109836,,,
4240,79035,109771,,,
4250,79020,109744,,,
4260,78975,109713,,,
4270,78971,109657,,,
4280,78912,109638,,,
4290,78901,109600,,,
4300,78868,109587,,,
4310,78852,109563,,,
4320,78829,109521,,,
4330,78832,109544,,,
4340,78826,109528,,,
4350,78854,109563,,,
4360,78900,109628,,,
4370,78948,109683,,,
4380,79047,109787,,,
4390,79132,109905,,,
4400,79236,110044,,,
4410,79372,110210,,,
4420,79511,110374,,,
4430,79645,110569,,,
4440,79809,110729,,,
4450,79926,110915,,,
4460,80057,111054,,,
4470,80138,111203,,,
4480,80221,111284,,,
4490,80270,111334,,,
4500,80299,111365,,,
4510,80287,111366,,,
4520,80262,111322,,,
4530,80198,111261,,,
4540,80151,111181,,,
4550,80094,111086,,,
4560,79991,110994,,,
4570,79938,110945,,,
4580,79864,110807,,,
4590,79803,110726,,,
4600,79743,110688,,,
4610,79711,110617,,,
4620,79634,110552,,,
4630,79608,110506,,,
4640,79562,110432,,,
4650,79488,110347,,,
4660,79432,110269,,,
4670,79340,110170,,,
4680,79274,110071,,,
4690,79182,109953,,,
4700,79081,109858,,,
4710,78998,109745,,,
4720,78927,109623,,,
4730,78828,109549,,,
4740,78747,109421,,,
4750,78664,109333,,,
4760,78628,109270,,,
4770,78559,109218,,,
4780,78552,109157,,,
4790,78505,109111,,,
4800,78475,109093,,,
4810,78459,109087,,,
4820,78485,109074,,,
4830,78453,109118,,,
4840,78505,109119,,,
4850,78548,109151,,,
4860,78544,109211,,,
4870,78595,109249,,,
4880,78678,109323,,,
4890,78711,109377,,,
4900,78754,109465,,,
4910,78842,109567,,,
4920,78913,109645,,,
4930,78990,109753,,,
4940,79071,109833,,,
4950,79171,109922,,,
4960,79230,110037,,,
4970,79296,110123,,,
4980,79348,110224,,,
4990,79415,110281,,,
5000,79248,110044,,,
5010,79224,110023,,,
5020,79222,109999,,,
5030,79196,109959,,,
5040,79169,109952,,,
5050,79144,109926,,,
5060,79142,109916,,,
5070,79142,109933,,,
5080,79129,109895,,,
5090,79130,109910,,,
5100,79118,109904,,,
5110,79123,109919,,,
5120,79158,109909,,,
5130,79133,109910,,,
5140,79136,109905,,,
5150,79148,109937,,,
5160,79106,109919,,,
5170,79139,109936,,,
5180,79138,109916,,,
5190,79137,109918,,,
5200,79120,109903,,,
5210,79105,109874,,,
5220,79093,109848,,,
5230,79044,109800,,,
5240,79020,109788,,,
5250,78979,109761,,,
5260,78962,109706,,,
5270,78949,109669,,,
5280,78908,109641,,,
5290,78893,109605,,,
5300,78866,109587,,,
5310,78847,109555,,,
5320,78849,109543,,,
5330,78830,109539,,,
5340,78828,109540,,,
5350,78871,109583,,,
5360,78908,109608,,,
5370,78959,109694,,,
5380,79040,109778,,,
5390,79132,109915,,,
5400,79233,110047,,,
5410,79370,110216,,,
